dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
nsubj->appos,nsubj,appos,5051.0,4035.0,0.0012083752293365084,0.0014968249504953434,0.000288449721158835,0.000288449721158835,23.870873397265537
advcl->auxpass,advcl,auxpass,4257.0,1981.0,0.001018422758124236,0.0007348724230312949,-0.00028355033509294117,0.00028355033509294117,-27.842105140618944
ROOT->agent,ROOT,agent,3828.0,1708.0,0.0009157910073055146,0.0006336002516594911,-0.0002821907556460235,0.0002821907556460235,-30.813881485503885
nmod->conj,nmod,conj,6360.0,4852.0,0.0015215336485013252,0.0017998995439413646,0.00027836589544003943,0.00027836589544003943,18.295086389592715
nmod->cc,nmod,cc,6784.0,5119.0,0.0016229692250680802,0.001898945953304997,0.0002759767282369168,0.0002759767282369168,17.004433847187713
pcomp->prep,pcomp,prep,9074.0,6577.0,0.0021708170324687146,0.002439806121290675,0.0002689890888219605,0.0002689890888219605,12.391145121800454
conj->advcl,conj,advcl,3538.0,2999.0,0.0008464129006914605,0.001112510043751062,0.00026609714305960146,0.00026609714305960146,31.43821920037119
ccomp->attr,ccomp,attr,3097.0,1280.0,0.0007409103316680196,0.00047482922840992305,-0.0002660811032580965,0.0002660811032580965,-35.912726801779804
relcl->nsubj,relcl,nsubj,33169.0,20680.0,0.00793518075269504,0.007671459721497819,-0.00026372103119722077,0.00026372103119722077,-3.3234407559985666
advcl->conj,advcl,conj,3580.0,3015.0,0.0008564607644079787,0.0011184454091061858,0.0002619846446982071,0.0002619846446982071,30.58921734486013
advcl->nsubjpass,advcl,nsubjpass,4021.0,1893.0,0.0009619633334314197,0.0007022279135781127,-0.00025973541985330694,0.00025973541985330694,-27.000553017629546
acomp->xcomp,acomp,xcomp,3298.0,1439.0,0.0007889965365970708,0.0005338119216264682,-0.00025518461497060264,0.00025518461497060264,-32.34293220997011
appos->relcl,appos,relcl,1461.0,1628.0,0.00034952211642459686,0.0006039234248838708,0.000254401308459274,0.000254401308459274,72.78546807327899
prep->cc,prep,cc,3347.0,1485.0,0.0008007190442663421,0.0005508760970224498,-0.0002498429472438923,0.0002498429472438923,-31.20232359064353
ccomp->dobj,ccomp,dobj,15669.0,10767.0,0.003748570870812463,0.0039941299236637825,0.00024555905285131947,0.00024555905285131947,6.550737902898369
acl->prep,acl,prep,26154.0,16207.0,0.00625694827718611,0.0060121541444059555,-0.0002447941327801545,0.0002447941327801545,-3.9123566623159607
ccomp->advmod,ccomp,advmod,11310.0,6649.0,0.0027057461579481114,0.002466515265388733,-0.0002392308925593784,0.0002392308925593784,-8.84158670452656
acomp->prep,acomp,prep,11770.0,6952.0,0.002815794189129025,0.0025789162468013945,-0.00023687794232763034,0.00023687794232763034,-8.41247358355054
compound->nummod,compound,nummod,2854.0,2476.0,0.00068277626302245,0.0009184977887054449,0.0002357215256829949,0.0002357215256829949,34.52397783126275
nmod->compound,nmod,compound,3449.0,2838.0,0.0008251209990064577,0.0010527854298651262,0.00022766443085866855,0.00022766443085866855,27.591641848020252
prep->conj,prep,conj,3025.0,1362.0,0.0007236854224397026,0.0005052479758549338,-0.00021843744658476888,0.00021843744658476888,-30.184032980568855
conj->appos,conj,appos,3295.0,2700.0,0.000788278832045891,0.0010015929036771814,0.00021331407163129046,0.00021331407163129046,27.060738276791888
advcl->advcl,advcl,advcl,2065.0,1892.0,0.0004940199660621441,0.0007018569532434175,0.00020783698718127345,0.00020783698718127345,42.070564240136214
conj->nsubjpass,conj,nsubjpass,2900.0,1312.0,0.0006937810661405414,0.00048669995912017114,-0.00020708110702037023,0.00020708110702037023,-29.848192337151673
appos->nummod,appos,nummod,2539.0,2192.0,0.0006074172851485637,0.0008131450536519933,0.00020572776850342957,0.00020572776850342957,33.8692647597462
pobj->nmod,pobj,nmod,17589.0,11884.0,0.00420790178356758,0.004408492617518379,0.00020059083395079953,0.00020059083395079953,4.767003705602959
appos->acl,appos,acl,1209.0,1317.0,0.00028923493412548777,0.0004885547607936474,0.0001993198266681596,0.0001993198266681596,68.91277752143262
pcomp->conj,pcomp,conj,2061.0,1864.0,0.000493063026660571,0.0006914700638719504,0.00019840703721137943,0.00019840703721137943,40.23969076634185
conj->advmod,conj,advmod,11780.0,7072.0,0.0028181865376329576,0.0026234314869648247,-0.0001947550506681329,0.0001947550506681329,-6.910651515343301
advcl->nsubj,advcl,nsubj,12133.0,7301.0,0.0029026364398217893,0.0027083814036100375,-0.00019425503621175186,0.00019425503621175186,-6.692365380201674
appos->prep,appos,prep,6288.0,4564.0,0.0015043087392730083,0.001693062967549132,0.00018875422827612366,0.00018875422827612366,12.547572406402656
attr->relcl,attr,relcl,3102.0,1502.0,0.000742106505919986,0.0005571824227122691,-0.00018492408320771691,0.00018492408320771691,-24.918806361691626
advcl->ccomp,advcl,ccomp,2640.0,2191.0,0.0006315800050382859,0.000812774093317298,0.000181194088279012,0.000181194088279012,28.68901593362319
conj->ccomp,conj,ccomp,3119.0,1526.0,0.0007461734983766719,0.0005660854707449551,-0.0001800880276317168,0.0001800880276317168,-24.134873192830483
advcl->cc,advcl,cc,3273.0,2583.0,0.0007830156653372386,0.0009581905445178369,0.00017517487918059828,0.00017517487918059828,22.371823059906706
appos->appos,appos,appos,2255.0,1923.0,0.0005394745876368693,0.0007133567236189704,0.0001738821359821011,0.0001738821359821011,32.23175659557564
appos->nmod,appos,nmod,3140.0,2493.0,0.000751197430234931,0.0009248041143952642,0.00017360668416033318,0.00017360668416033318,23.110660017305847
ccomp->advcl,ccomp,advcl,6137.0,4416.0,0.0014681842768636216,0.0016381608380142344,0.0001699765611506128,0.0001699765611506128,11.577331526374994
ccomp->xcomp,ccomp,xcomp,2487.0,1153.0,0.0005949770729281126,0.000427717265903626,-0.00016725980702448658,0.00016725980702448658,-28.111975172645945
appos->conj,appos,conj,4678.0,3467.0,0.0011191406301398112,0.00128611948038844,0.0001669788502486288,0.0001669788502486288,14.920274159626263
amod->amod,amod,amod,5407.0,3930.0,0.0012935428360765198,0.0014578741153523419,0.00016433127927582207,0.00016433127927582207,12.703968874680623
poss->det,poss,det,2715.0,2193.0,0.0006495226188177827,0.0008135160139866885,0.0001639933951689057,0.0001639933951689057,25.2482962744847
relcl->acomp,relcl,acomp,4244.0,2296.0,0.0010153127050691233,0.0008517249284602994,-0.00016358777660882388,0.00016358777660882388,-16.112058461603382
conj->nsubj,conj,nsubj,8304.0,4930.0,0.001986606197665881,0.0018288344500475941,-0.00015777174761828707,0.00015777174761828707,-7.941772647425417
nsubjpass->acl,nsubjpass,acl,1936.0,826.0,0.0004631586703614097,0.0003064132364582785,-0.00015674543390313122,0.00015674543390313122,-33.84270746369066
nsubjpass->conj,nsubjpass,conj,2326.0,1087.0,0.0005564602620147928,0.00040323388381373934,-0.0001532263782010535,0.0001532263782010535,-27.535906633523485
nsubjpass->cc,nsubjpass,cc,2177.0,1000.0,0.0005208142693061927,0.0003709603346952524,-0.00014985393461094027,0.00014985393461094027,-28.773008621781717
pobj->poss,pobj,poss,12055.0,7372.0,0.0028839761214911126,0.0027347195873734004,-0.00014925653411771225,0.00014925653411771225,-5.175373436883437
ROOT->neg,ROOT,neg,2314.0,1091.0,0.0005535894438100734,0.00040471772515252036,-0.00014887171865755303,0.00014887171865755303,-26.89208046182113
pcomp->cc,pcomp,cc,2048.0,1722.0,0.0004899529736054582,0.0006387936963452246,0.00014884072273976638,0.00014884072273976638,30.378573201521696
prep->amod,prep,amod,7543.0,5261.0,0.0018045484765165875,0.0019516223208317228,0.00014707384431513534,0.00014707384431513534,8.15017419753885
ccomp->cc,ccomp,cc,4950.0,2796.0,0.0011842125094467862,0.0010372050958079256,-0.00014700741363886057,0.00014700741363886057,-12.413938585021043
acl->agent,acl,agent,6272.0,3662.0,0.0015004809816667158,0.0013584567456540143,-0.0001420242360127015,0.0001420242360127015,-9.465247327223217
xcomp->acomp,xcomp,acomp,1304.0,459.0,0.00031196224491285035,0.00017027079362512084,-0.0001416914512877295,0.0001416914512877295,-45.41942289436736
nsubj->relcl,nsubj,relcl,2262.0,1083.0,0.0005411492315896223,0.0004017500424749583,-0.00013939918911466394,0.00013939918911466394,-25.75984238306682
advcl->acomp,advcl,acomp,3168.0,1676.0,0.0007578960060459431,0.000621729520949243,-0.00013616648509670018,0.00013616648509670018,-17.9663811407453
acl->mark,acl,mark,1607.0,673.0,0.00038445040458201724,0.00024965630524990484,-0.0001347940993321124,0.0001347940993321124,-35.061505392005884
dobj->relcl,dobj,relcl,15026.0,10044.0,0.0035947428620095776,0.0037259256016791147,0.00013118273966953708,0.00013118273966953708,3.6492941137993298
ccomp->conj,ccomp,conj,5302.0,3067.0,0.0012684231767852243,0.001137735346510339,-0.0001306878302748853,0.0001306878302748853,-10.303172684538072
