paperId,year,publicationDate,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
1501.01144v2,2015,2015-01-06,5.0,5,0,0,0,0,0,2,1,0,3,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.6,
1501.01133v1,2015,2015-01-06,8.0,8,0,0,0,1,1,2,1,2,3,0.0,0.0,0.0,250.0,375.0,0.0,0.25,0.375,1.5
1501.01121v1,2015,2015-01-06,7.0,7,0,0,0,1,1,3,0,2,3,0.0,0.0,0.0,285.7142857142857,428.57142857142856,0.0,0.2857142857142857,0.42857142857142855,1.5
1501.00727v3,2015,2015-01-04,11.0,13,0,0,0,1,1,1,0,2,1,0.0,0.0,0.0,181.8181818181818,90.9090909090909,0.0,0.15384615384615385,0.07692307692307693,0.5
1501.00682v3,2015,2015-01-04,4.0,5,0,0,0,0,0,3,1,0,4,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.8,
1501.00527v1,2015,2015-01-03,12.0,12,0,1,1,1,0,3,2,1,5,0.0,83.33333333333333,83.33333333333333,83.33333333333333,416.6666666666667,0.0,0.08333333333333333,0.4166666666666667,5.0
1501.00481v3,2015,2015-01-02,16.0,16,0,1,1,4,4,3,0,8,3,0.0,62.5,62.5,500.0,187.5,0.0,0.5,0.1875,0.375
1501.00897v1,2015,2015-01-01,11.0,11,0,0,0,1,1,1,4,2,5,0.0,0.0,0.0,181.8181818181818,454.5454545454545,0.0,0.18181818181818182,0.45454545454545453,2.5
1501.00230v1,2015,2015-01-01,11.0,12,0,0,0,1,1,6,1,2,7,0.0,0.0,0.0,181.8181818181818,636.3636363636364,0.0,0.16666666666666666,0.5833333333333334,3.5
1501.06947v2,2015,2015-01-27,11.0,15,0,0,0,4,3,1,0,7,1,0.0,0.0,0.0,636.3636363636364,90.9090909090909,0.0,0.4666666666666667,0.06666666666666667,0.14285714285714285
1501.05842v1,2015,2015-01-22,14.0,14,1,0,1,3,3,2,1,6,3,71.42857142857143,0.0,71.42857142857143,428.57142857142856,214.28571428571428,1.0,0.42857142857142855,0.21428571428571427,0.5
1501.00910v2,2015,2015-01-02,4.0,4,0,0,0,0,0,2,1,0,3,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.75,
1501.07850v2,2015,2015-01-30,10.0,10,0,0,0,0,0,1,5,0,6,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.6,
1501.07713v1,2015,2015-01-30,25.0,25,0,1,1,4,4,4,4,8,8,0.0,40.0,40.0,320.0,320.0,0.0,0.32,0.32,1.0
1501.06623v1,2015,2015-01-26,6.0,6,0,1,1,1,1,1,1,2,2,0.0,166.66666666666666,166.66666666666666,333.3333333333333,333.3333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0
1501.06558v1,2015,2015-01-26,8.0,8,0,1,1,1,1,2,0,2,2,0.0,125.0,125.0,250.0,250.0,0.0,0.25,0.25,1.0
1501.06353v2,2015,2015-01-26,14.0,14,0,0,0,3,3,3,2,6,5,0.0,0.0,0.0,428.57142857142856,357.14285714285717,0.0,0.42857142857142855,0.35714285714285715,0.8333333333333334
1501.06342v2,2015,2015-01-26,13.0,13,1,0,1,3,3,1,2,6,3,76.92307692307693,0.0,76.92307692307693,461.53846153846155,230.76923076923077,1.0,0.46153846153846156,0.23076923076923078,0.5
1501.06145v1,2015,2015-01-25,13.0,13,0,0,0,3,3,4,1,6,5,0.0,0.0,0.0,461.53846153846155,384.61538461538464,0.0,0.46153846153846156,0.38461538461538464,0.8333333333333334
1512.04471v1,2015,2015-01-24,20.0,21,0,1,1,3,3,4,3,6,7,0.0,50.0,50.0,300.0,350.0,0.0,0.2857142857142857,0.3333333333333333,1.1666666666666667
1506.01985v1,2015,2015-01-24,15.0,15,0,2,2,3,3,1,2,6,3,0.0,133.33333333333334,133.33333333333334,400.0,200.0,0.0,0.4,0.2,0.5
1501.05914v1,2015,2015-01-23,14.0,15,0,0,0,2,2,4,2,4,6,0.0,0.0,0.0,285.7142857142857,428.57142857142856,0.0,0.26666666666666666,0.4,1.5
1501.05769v1,2015,2015-01-23,11.0,11,0,0,0,1,1,2,4,2,6,0.0,0.0,0.0,181.8181818181818,545.4545454545454,0.0,0.18181818181818182,0.5454545454545454,3.0
1501.05701v3,2015,2015-01-23,16.0,16,1,0,1,2,1,1,3,3,4,62.5,0.0,62.5,187.5,250.0,1.0,0.1875,0.25,1.3333333333333333
1501.05555v3,2015,2015-01-22,11.0,13,0,1,1,3,1,0,2,4,2,0.0,90.9090909090909,90.9090909090909,363.6363636363636,181.8181818181818,0.0,0.3076923076923077,0.15384615384615385,0.5
1501.05524v1,2015,2015-01-22,18.0,19,0,1,1,2,2,4,4,4,8,0.0,55.55555555555555,55.55555555555555,222.2222222222222,444.4444444444444,0.0,0.21052631578947367,0.42105263157894735,2.0
1501.05458v1,2015,2015-01-22,17.0,18,0,1,1,3,4,5,1,7,6,0.0,58.8235294117647,58.8235294117647,411.7647058823529,352.94117647058823,0.0,0.3888888888888889,0.3333333333333333,0.8571428571428571
1501.05278v1,2015,2015-01-21,5.0,6,0,0,0,1,1,1,0,2,1,0.0,0.0,0.0,400.0,200.0,0.0,0.3333333333333333,0.16666666666666666,0.5
1501.05073v1,2015,2015-01-21,9.0,9,1,0,1,2,2,3,0,4,3,111.1111111111111,0.0,111.1111111111111,444.4444444444444,333.3333333333333,1.0,0.4444444444444444,0.3333333333333333,0.75
1501.04824v2,2015,2015-01-20,12.0,12,0,0,0,2,2,3,4,4,7,0.0,0.0,0.0,333.3333333333333,583.3333333333334,0.0,0.3333333333333333,0.5833333333333334,1.75
1501.04708v1,2015,2015-01-20,11.0,11,1,1,2,2,2,1,1,4,2,90.9090909090909,90.9090909090909,181.8181818181818,363.6363636363636,181.8181818181818,0.5,0.36363636363636365,0.18181818181818182,0.5
1501.04665v1,2015,2015-01-19,9.0,9,0,1,1,2,2,1,1,4,2,0.0,111.1111111111111,111.1111111111111,444.4444444444444,222.2222222222222,0.0,0.4444444444444444,0.2222222222222222,0.5
1501.04497v2,2015,2015-01-19,4.0,4,0,0,0,0,0,0,3,0,3,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.75,
1501.04260v1,2015,2015-01-18,8.0,8,0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.25,
1501.04010v1,2015,2015-01-16,7.0,7,0,1,1,1,1,0,2,2,2,0.0,142.85714285714286,142.85714285714286,285.7142857142857,285.7142857142857,0.0,0.2857142857142857,0.2857142857142857,1.0
1501.03632v2,2015,2015-01-15,10.0,10,0,0,0,2,2,1,2,4,3,0.0,0.0,0.0,400.0,300.0,0.0,0.4,0.3,0.75
1501.03578v1,2015,2015-01-15,7.0,7,0,0,0,1,1,1,2,2,3,0.0,0.0,0.0,285.7142857142857,428.57142857142856,0.0,0.2857142857142857,0.42857142857142855,1.5
1501.03465v5,2015,2015-01-14,12.0,12,1,0,1,2,3,1,1,5,2,83.33333333333333,0.0,83.33333333333333,416.6666666666667,166.66666666666666,1.0,0.4166666666666667,0.16666666666666666,0.4
1501.03322v1,2015,2015-01-14,10.0,10,0,1,1,0,0,1,4,0,5,0.0,100.0,100.0,0.0,500.0,0.0,0.0,0.5,
1501.03250v4,2015,2015-01-14,14.0,14,2,1,3,3,3,2,2,6,4,142.85714285714286,71.42857142857143,214.28571428571428,428.57142857142856,285.7142857142857,0.6666666666666666,0.42857142857142855,0.2857142857142857,0.6666666666666666
1501.03131v2,2015,2015-01-13,24.0,24,2,0,2,3,3,0,7,6,7,83.33333333333333,0.0,83.33333333333333,250.0,291.6666666666667,1.0,0.25,0.2916666666666667,1.1666666666666667
1501.02847v2,2015,2015-01-12,12.0,12,1,2,3,1,1,2,1,2,3,83.33333333333333,166.66666666666666,250.0,166.66666666666666,250.0,0.3333333333333333,0.16666666666666666,0.25,1.5
1503.05628v1,2015,2015-01-12,14.0,14,0,0,0,3,3,4,3,6,7,0.0,0.0,0.0,428.57142857142856,500.0,0.0,0.42857142857142855,0.5,1.1666666666666667
1501.02374v2,2015,2015-01-10,13.0,13,1,1,2,2,2,1,3,4,4,76.92307692307693,76.92307692307693,153.84615384615387,307.69230769230774,307.69230769230774,0.5,0.3076923076923077,0.3076923076923077,1.0
1501.02206v1,2015,2015-01-09,12.0,12,1,0,1,1,1,3,3,2,6,83.33333333333333,0.0,83.33333333333333,166.66666666666666,500.0,1.0,0.16666666666666666,0.5,3.0
