feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
emphasis_marker_particularly_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.22215108420319654,0.3714796707309874,0.0057488349299407255,0.0689860191592887,-0.10376033344816468,0.046111775422742154,-0.1941394132767393,-0.013381253619590056,0.02443678016307332,0.0009973064722920717,0.01196767766750486,0.0024843226632710177,0.029811871959252213,-0.04646359137262947,0.07039894670763919,0.6880962097712136,0.006746141402232797,0.08095369682679357,0.7637050092959987,monthly_segmented_wls_hac,6,2021,0.8125525119935124
word_finding_per_1k_words,marker_words,2021-01-01,83,19,64,0.8588917052631677,1.1705010354101766,-0.004799040578838674,-0.05758848694606409,-0.1280303100663676,0.058277308061421985,-0.24225383386675467,-0.013806786265980503,0.028026495511903074,0.020326166043417578,0.24391399252101092,0.004425295736276823,0.05310354883532187,0.13983103680378006,0.3479969482382418,4.365487491741311e-06,0.015527125464578904,0.18632550557494684,0.9040691137895078,monthly_segmented_wls_hac,6,2021,5.2385849900895735e-05
word_across_per_1k_words,marker_words,2021-01-01,83,19,64,0.8599126890689025,1.3399728827021524,-0.001465810298350227,-0.017589723580202724,-0.2532214195956013,0.1305192868409879,-0.5090392218039376,0.002596382612734982,0.052366652518024526,0.02531392814471944,0.3037671377366333,0.00707752864971971,0.08493034379663653,0.1373036638952257,0.4702306115780409,0.00034800961058724096,0.023848117846369213,0.28617741415643055,0.7995111254445723,monthly_segmented_wls_hac,6,2021,0.0020880576635234458
marker_words_total_per_1k_words,marker_words,2021-01-01,83,19,64,3.877152964278126,5.375323457998604,0.01814949100699949,0.2177938920839939,-0.6815249314396036,0.30639654682917994,-1.2820621632247962,-0.08098769965441088,0.026126710407341335,0.04868981365748025,0.5842777638897629,0.023013811610738042,0.2761657393288565,0.04299291480520423,1.1255626129743217,0.03437220758259048,0.06683930466447974,0.8020716559737568,0.9067187469529906,monthly_segmented_wls_hac,6,2021,0.1374888303303619
word_while_per_1k_words,marker_words,2021-01-01,83,19,64,0.8034692718058999,0.9677174643171749,0.002227596514890707,0.026731158178688486,-0.151674992923571,0.07481439795850195,-0.29831121292223484,-0.0050387729249071755,0.042626599755124873,0.007550142749036704,0.09060171298844046,0.004861285252347917,0.058335423028175,-0.023735716146782545,0.20493914212366346,0.12039528461384,0.009777739263927412,0.11733287116712894,0.7216620687134884,monthly_segmented_wls_hac,6,2021,0.36118585384152
word_interplay_per_1k_words,marker_words,2021-01-01,83,19,64,0.02786980730797242,0.03725693734442671,0.0008440637648200473,0.010128765177840567,-0.005755986802267271,0.0051121999752355915,-0.01577589875372903,0.004263925149194488,0.26019453013982197,-0.0003250451092815215,-0.003900541311378258,0.0005274476343641766,0.00632937161237012,-0.016306109671623693,0.008505027048867176,0.5377226462938572,0.0005190186555385258,0.00622822386646231,0.3461915219677888,monthly_segmented_wls_hac,6,2021,0.8554411745825465
word_notably_per_1k_words,marker_words,2021-01-01,83,19,64,0.047433198522919585,0.10294942129565518,0.0014941190741848541,0.01792942889021825,-0.019182181016031082,0.01110874699570402,-0.040955325127610964,0.0025909630955487963,0.08421011101699011,0.0004917465767577605,0.005900958921093127,0.0008663330582706054,0.010395996699247265,-0.01447519460943151,0.026277112451617766,0.5702941163883644,0.0019858656509426148,0.023830387811311377,0.6894725547618985,monthly_segmented_wls_hac,6,2021,0.8554411745825465
word_realm_per_1k_words,marker_words,2021-01-01,83,19,64,0.0023124754410325603,0.002493363752422966,-0.00011553029319225346,-0.0013863635183070416,0.0016312249222208202,0.0012764557147408313,-0.000870628278671209,0.00413307812311285,0.20127303977427857,0.00012866616123599113,0.0015439939348318936,0.00018526020312676188,0.0022231224375211427,-0.0028133260427095456,0.005901313912373332,0.48735871772482364,1.3135868043737668e-05,0.000157630416524852,0.02483744602957938,monthly_segmented_wls_hac,6,2021,0.8554411745825465
word_within_per_1k_words,marker_words,2021-01-01,83,19,64,0.7102225052558029,0.8384848028298906,0.007904337339277633,0.0948520480713316,-0.015526044814273193,0.044867258463063074,-0.10346587140187681,0.07241378177333042,0.7293096607941205,-0.005197130799599802,-0.06236556959519762,0.00627192461953714,0.07526309543444568,-0.20988123664671116,0.08515009745631591,0.40731146922805983,0.0027072065396778313,0.03248647847613398,0.3387281145399531,monthly_segmented_wls_hac,6,2021,0.8554411745825465
word_particularly_per_1k_words,marker_words,2021-01-01,83,19,64,0.22215108420319654,0.3714796707309874,0.0057488349299407255,0.0689860191592887,-0.10376033344816468,0.046111775422742154,-0.1941394132767393,-0.013381253619590056,0.02443678016307332,0.0009973064722920717,0.01196767766750486,0.0024843226632710177,0.029811871959252213,-0.04646359137262947,0.07039894670763919,0.6880962097712136,0.006746141402232797,0.08095369682679357,0.7637050092959987,monthly_segmented_wls_hac,6,2021,0.9174616130282848
