month_ts,paper_count,em_dash_per_1k_words_monthly_mean,semicolon_per_1k_words_monthly_mean,colon_per_1k_words_monthly_mean,clause_depth_monthly_mean,dependency_entropy_monthly_mean,dependency_length_monthly_mean,coordination_count_monthly_mean,sentence_depth_std_monthly_mean,list_of_three_monthly_mean,marker_words_total_per_1k_words_monthly_mean,marker_verbs_total_per_1k_words_monthly_mean,marker_adjectives_total_per_1k_words_monthly_mean,marker_phrases_total_per_1k_words_monthly_mean,sequential_markers_total_per_1k_words_monthly_mean,causal_markers_total_per_1k_words_monthly_mean,contrast_markers_total_per_1k_words_monthly_mean,emphasis_markers_total_per_1k_words_monthly_mean,summary_markers_total_per_1k_words_monthly_mean
2017-11-01,15,1.9047619047619047,0.8043010752688172,2.761659025092468,11.4,2.7193899091805545,3.4428256199843,4.466666666666667,2.4359179750910114,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,15,0.0,0.44742729306487694,3.5416706073477022,11.266666666666667,2.768832887218364,3.4227280821081023,6.066666666666666,2.144567967239375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,15,1.5384615384615385,0.0,2.440465179782605,11.133333333333333,2.727501724919444,3.2342642937001576,3.533333333333333,1.9894832495180859,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,15,0.0,1.1396011396011398,5.4921398362422185,12.866666666666667,2.7588510194320426,3.2504520617981436,5.266666666666667,2.8280536622438985,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,15,0.0,0.6734006734006734,4.284646274225156,11.666666666666666,2.752033700348883,3.3760775729427306,6.533333333333333,2.00253878684627,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,15,1.723809523809524,0.634920634920635,4.650551257322568,11.4,2.741112075610568,3.314411476413642,5.933333333333334,2.190014567125096,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,15,0.7366482504604052,0.6944444444444444,4.724351760983388,11.133333333333333,2.737979052765344,3.436469444938564,4.6,1.9442215017389064,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,15,0.9652777777777779,0.28612303290414876,5.072993420326141,10.733333333333333,2.696079891636972,3.2354992215991305,5.733333333333333,1.9379472871895738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,15,1.0997189944558368,0.0,1.7662738265010574,11.266666666666667,2.820673520270558,3.3689277590265347,7.133333333333334,2.1680378659818595,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,15,0.5208333333333334,0.36036036036036034,4.368281673343903,11.466666666666667,2.7631182314547704,3.6215032303735275,4.466666666666667,2.339161745091027,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,15,0.0,1.698922146091277,3.724583493929327,12.4,2.787648027450942,3.2350218066643928,5.333333333333333,2.5476705339047365,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,15,0.6700167504187605,0.26881720430107525,3.178745494424206,11.266666666666667,2.7628767737013495,3.4815266347135414,5.2,2.109516686585452,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,15,0.0,0.21231422505307856,2.9201453628148504,11.933333333333334,2.7734339111334347,3.3953025034413193,6.533333333333333,2.490164188201539,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,15,1.558683292908871,0.7599796294119953,3.5368108253685393,12.533333333333333,2.754929613598928,3.413372717021167,5.6,2.536421135180781,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,15,0.7092198581560284,0.2777777777777778,4.571072049167028,11.266666666666667,2.7833048461811285,3.2623605840764895,4.333333333333333,1.939329473312435,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,15,1.0027330129111298,0.0,1.9988595382083305,11.466666666666667,2.7190679766746344,3.244296176252017,5.2,2.1891886455018152,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,15,1.1474393053340421,2.2256896108432462,2.3472297707185024,11.266666666666667,2.776153200464696,3.288724452169269,6.133333333333334,2.154333997562808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,15,0.0,0.46457607433217185,2.8487349235409525,12.533333333333333,2.7824043986437115,3.3507634109620406,7.933333333333334,2.5641664444911414,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
