feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
word_realm_per_1k_words,marker_words,2022-11-30,83,42,41,0.0016123225211972865,0.0033120675035220107,-8.593660125730009e-06,-0.00010312392150876011,0.005203610429451387,0.0025329480518192574,0.0002390322478856427,0.010168188611017131,0.03993997301321264,-0.00011947424045547719,-0.0014336908854657262,8.879508014225583e-05,0.0010655409617070701,-0.0035221511704115836,0.000654769399480131,0.17846214902329877,-0.0001280679005812072,-0.0015368148069744864,0.15025304480327217,monthly_segmented_wls_hac,6,0.20949904450561158,0.08295225164282626
word_within_per_1k_words,marker_words,2022-11-30,83,42,41,0.7592244868705037,0.8602396715222462,0.003126543576747044,0.037518522920964525,-0.0911775426740508,0.037416499030757736,-0.16451388077433596,-0.017841204573765646,0.014816757799173122,0.002622759916364542,0.031473118996374505,0.0021753261102636207,0.026103913323163447,-0.01969055111702585,0.08263678910977486,0.22793864191989638,0.005749303493111586,0.06899164191733903,0.38749503726225276,monthly_segmented_wls_hac,6,0.2564309721598834,0.04376041552715476
word_interplay_per_1k_words,marker_words,2022-11-30,83,42,41,0.025584608732977035,0.04486382346609147,7.940531080527337e-05,0.0009528637296632804,0.01489088832654225,0.0108681496861765,-0.006410685058363688,0.03619246171144819,0.17064315425557436,0.00020396947620793186,0.0024476337144951825,0.00047145506132820507,0.005657460735938461,-0.008640989327944201,0.013536256756934567,0.665277622167088,0.00028337478701320523,0.0034004974441584628,0.3762073398800473,monthly_segmented_wls_hac,6,0.7184998319404551,0.25636534193728966
word_insight_per_1k_words,marker_words,2022-11-30,83,42,41,0.22274229671735318,0.39986800262120675,0.0014796307578768936,0.017755569094522722,0.10875521802015661,0.05617883097175411,-0.0013552906844814389,0.21886572672479465,0.052882960842370756,0.0006178406182011944,0.0074140874184143325,0.002611432039411136,0.031337184472933634,-0.05400679414853559,0.06883496898536424,0.8129743107677532,0.002097471376078088,0.025169656512937056,0.6294811243341658,monthly_segmented_wls_hac,6,0.8129743107677532,0.10198856733885789
word_meticulously_per_1k_words,marker_words,2022-11-30,83,42,41,0.0006274711478646988,0.002911754763165919,-3.0247060957535203e-05,-0.00036296473149042245,0.0031251505138953696,0.0014734930814906426,0.00023710407417371028,0.006013196953617029,0.033929131204272885,1.3038035961603756e-05,0.00015645643153924506,5.060248481609165e-05,0.0006072298177930999,-0.0010337140113352305,0.0013466268744137205,0.796672374098892,-1.720902499593145e-05,-0.0002065082999511774,0.13029537987014594,monthly_segmented_wls_hac,6,0.8129743107677532,0.07634054520961399
sentence_depth_std,other,2022-11-30,83,42,41,2.3054466229525437,2.281308058780557,0.0014827960580458743,0.01779355269655049,0.056216676907388685,0.017350889817422447,0.022208932865240692,0.09022442094953667,0.0011953467904421828,-0.006718568185691574,-0.08062281822829889,0.0007219754716471835,0.0086637056597662,-0.09760368132144064,-0.06364195513515714,1.3297204750528876e-20,-0.0052357721276457,-0.0628292655317484,0.7479552501117785,monthly_segmented_wls_hac,6,3.457273235137508e-19,0.015539508275748376
hedge_ratio,other,2022-11-30,83,42,41,0.004391110207375312,0.003845860656919266,-2.5788103891328274e-05,-0.0003094572466959393,-1.4556549134179739e-05,6.901017157782744e-05,-0.00014981648542672151,0.00012070338715836204,0.8329392522068784,2.2857637201759864e-05,0.00027429164642111837,3.0648944832979892e-06,3.677873379957587e-05,0.00020220532817394966,0.00034637796466828707,8.792091705120038e-14,-2.93046668956841e-06,-3.516560027482092e-05,0.80271519898157,monthly_segmented_wls_hac,6,1.1429719216656049e-12,0.9384222576922577
coordination_per_sentence_std,other,2022-11-30,83,42,41,0.9816976809595529,0.9828427423945991,0.0020678216739589018,0.02481386008750682,-0.020815982205136918,0.006888091162675928,-0.03431664088398174,-0.007315323526292099,0.0025108998958074027,-0.0028191975964756578,-0.03383037115770789,0.0003866409082041982,0.0046396908984503785,-0.04292416531867063,-0.024736576996745155,3.0649102683710637e-13,-0.000751375922516756,-0.009016511070201072,0.572672666502877,monthly_segmented_wls_hac,6,2.6562555659215887e-12,0.021761132430330826
certainty_ratio,other,2022-11-30,83,42,41,0.0015889266196776625,0.0017493329802532424,-1.8365816139201073e-05,-0.00022038979367041287,0.00010563100449431607,7.127322656909539e-05,-3.4064519581110874e-05,0.000245326528569743,0.1383250537700589,3.502067604340666e-05,0.0004202481125208799,4.91603838221174e-06,5.899246058654088e-05,0.00030462288977125976,0.0005358733352705,1.0502209297916865e-12,1.6654859904205587e-05,0.00019985831885046705,0.6424116992606137,monthly_segmented_wls_hac,6,6.826436043645962e-12,0.25688938557296653
emphasis_marker_particularly_per_1k_words,other,2022-11-30,83,42,41,0.2384913416998992,0.43851056524995524,0.0007244886937423601,0.008693864324908322,-0.038957772629744356,0.029718924419801014,-0.09720686449255433,0.01929131923306563,0.18990025328688123,0.009830348497099564,0.11796418196519476,0.002000700325585067,0.024008403907020803,0.070907710307434,0.16502065362295554,8.948585413634058e-07,0.010554837190841923,0.12665804629010308,0.8489241561923623,monthly_segmented_wls_hac,6,4.65326441508971e-06,0.2705327523507014
