feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
emphasis_marker_crucially_per_1k_words,emphasis_markers,2022-11-30,83,42,41,0.003743635819107517,0.0,0.0002930355887900405,0.0035164270654804864,-0.009750865389303398,0.008018754131346955,-0.025467623486743432,0.005965892708136635,0.223982054304942,-0.000293035588790034,-0.0035164270654804083,0.00025049766627828447,0.003005971995339414,-0.00940813217634566,0.0023752780453848432,0.2420759701330923,6.5052130349130266e-18,7.806255641895632e-17,0.03359875831964687,monthly_segmented_wls_hac,6,0.4438693629125332,0.37330342384157
emphasis_marker_notably_per_1k_words,emphasis_markers,2022-11-30,83,42,41,0.04548592430241001,0.13776287100418141,-0.0007528985846380225,-0.009034783015656269,0.0606002733233162,0.06119104478673666,-0.05933417445868765,0.18053472110532004,0.3220052943049767,0.002996284030520769,0.035955408366249234,0.0026955341405246577,0.032346409686295895,-0.027443554618890715,0.09935437135138916,0.26632161774751995,0.0022433854458827466,0.02692062535059296,0.09704066164407543,monthly_segmented_wls_hac,6,0.4438693629125332,0.4025066178812209
emphasis_marker_importantly_per_1k_words,emphasis_markers,2022-11-30,83,42,41,0.03013373299392227,0.08362919655065354,-0.0007878499996243657,-0.009454199995492388,0.11773532378452825,0.05188273209434632,0.016045168879609453,0.21942547868944706,0.02325261886268496,-0.0015020992973040362,-0.018025191567648435,0.0019233402631351096,0.023080083157621313,-0.06326215455658621,0.02721177142128934,0.4348114999215393,-0.002289949296928402,-0.027479391563140824,0.06630556445815827,monthly_segmented_wls_hac,6,0.5435143749019241,0.0581315471567124
emphasis_marker_remarkably_per_1k_words,emphasis_markers,2022-11-30,83,42,41,0.020114496380319164,0.011782726522917404,0.000953587243857658,0.011443046926291896,-0.057926260989924525,0.02480255644585092,-0.10653927162379231,-0.009313250356056728,0.019517546456573387,0.0004771724053538642,0.00572606886424637,0.0012029919132079084,0.014435902958494902,-0.02256830093440363,0.03402043866289638,0.6916221041771486,0.0014307596492115222,0.017169115790538265,0.038366961498762286,monthly_segmented_wls_hac,6,0.6916221041771486,0.0581315471567124
word_particularly_per_1k_words,marker_words,2022-11-30,83,42,41,0.26218057304511017,0.39022914431832373,-0.005861958737126597,-0.07034350484551917,-0.022783129149709494,0.0927572618193893,-0.2045873623157125,0.15902110401629355,0.8059756503243299,0.018766808953033367,0.2252017074364004,0.00381172340274156,0.04574068083289872,0.1355499730039189,0.3148534418688819,8.503396367294001e-07,0.01290485021590677,0.15485820259088123,0.1586311973226,monthly_segmented_wls_hac,6,1.0204075640752802e-05,1.0
marker_words_total_per_1k_words,marker_words,2022-11-30,83,42,41,4.3247148814395695,6.358145669416045,0.016091440872393573,0.19309729046872287,-0.10036785533679948,0.4951353915934823,-1.0708332228600248,0.8700975121864258,0.8393633482366648,0.06980970700520067,0.8377164840624081,0.016786371470662628,0.20143645764795154,0.44290102707242307,1.2325319410523932,3.200452332210131e-05,0.08590114787759424,1.030813774531131,0.49741467118118987,monthly_segmented_wls_hac,6,0.00019202713993260787,1.0
word_finding_per_1k_words,marker_words,2022-11-30,83,42,41,0.9007873520394731,1.5514240359191696,-0.010159133860633399,-0.12190960632760078,0.325050991458912,0.2441771931600294,-0.15353630713474564,0.8036382900525696,0.18312009683197286,0.03558046417319696,0.42696557007836355,0.010098564169127557,0.12118277002953068,0.18944734082048342,0.6644837993362438,0.0004261778914114907,0.025421330312563564,0.30505596375076277,0.2909386266109991,monthly_segmented_wls_hac,6,0.0017047115656459628,0.6903967215333647
word_across_per_1k_words,marker_words,2022-11-30,83,42,41,0.9746466508796205,1.7164642913541694,0.00893959801473915,0.10727517617686981,-0.0024070559562479055,0.24562465368210207,-0.48383137717316793,0.4790172652606721,0.9921810697087606,0.01777292280091325,0.213275073610959,0.009584695859094466,0.1150163503091336,-0.012156972994942866,0.43870712021686087,0.06369593483351729,0.0267125208156524,0.3205502497878288,0.2851795001074666,monthly_segmented_wls_hac,6,0.19108780450055188,1.0
word_while_per_1k_words,marker_words,2022-11-30,83,42,41,0.7761409416850543,1.0416619248831263,0.003776271354035708,0.0453152562484285,-0.08015724862798781,0.14820622496211408,-0.37064144955373146,0.2103269522977558,0.5886113863689859,0.00899823669683936,0.10797884036207232,0.006034726902968454,0.07241672283562145,-0.03395793639574572,0.24991561711989035,0.13594153193073003,0.012774508050875068,0.1532940966105008,0.08967736830753836,monthly_segmented_wls_hac,6,0.3262596766337521,0.9352077877342817
word_insight_per_1k_words,marker_words,2022-11-30,83,42,41,0.24677128035877063,0.3878602058880278,0.004919731107076921,0.05903677328492306,0.07342923041429379,0.14956992553192303,-0.21972782362827536,0.3665862844568629,0.6234718584895211,-0.0065004355156532655,-0.07800522618783919,0.005731531002268792,0.0687783720272255,-0.21281083536120116,0.056800382985522785,0.2567301968906508,-0.0015807044085763442,-0.01896845290291613,0.06740151024185292,monthly_segmented_wls_hac,6,0.4536852862256957,0.9352077877342817
word_notably_per_1k_words,marker_words,2022-11-30,83,42,41,0.04548592430241001,0.13776287100418141,-0.0007528985846380225,-0.009034783015656269,0.0606002733233162,0.06119104478673666,-0.05933417445868765,0.18053472110532004,0.3220052943049767,0.002996284030520769,0.035955408366249234,0.0026955341405246577,0.032346409686295895,-0.027443554618890715,0.09935437135138916,0.26632161774751995,0.0022433854458827466,0.02692062535059296,0.09704066164407543,monthly_segmented_wls_hac,6,0.4536852862256957,0.6903967215333647
word_within_per_1k_words,marker_words,2022-11-30,83,42,41,0.8987320873650427,0.8227154598615972,0.014639898817652706,0.17567878581183247,-0.5317861747557817,0.19943639974257305,-0.9226815182512249,-0.14089083126033858,0.007665816696522605,-0.007227916841914265,-0.08673500210297118,0.007009371221854826,0.0841124546622579,-0.25159541324099666,0.07812540903505433,0.30245685748379714,0.007411981975738441,0.0889437837088613,0.06197251252201719,monthly_segmented_wls_hac,6,0.4536852862256957,0.09198980035827126
word_realm_per_1k_words,marker_words,2022-11-30,83,42,41,0.0,0.029780517585395638,9.147040531411895e-17,1.0976448637694274e-15,0.03871467286101359,0.04101374709062404,-0.041672271436609516,0.11910161715863671,0.3451983607666823,-0.0004254359655058214,-0.005105231586069857,0.0010282874068414,0.012339448882096801,-0.02929055139497959,0.019080088222839874,0.6790699900175416,-0.00042543596550572994,-0.0051052315860687595,0.013197926404351135,monthly_segmented_wls_hac,6,0.9054266533567221,0.6903967215333647
word_interplay_per_1k_words,marker_words,2022-11-30,83,42,41,0.04467272387279255,0.01289766537083064,0.0007320711691377194,0.008784854029652633,-0.05625092122387461,0.025325370711867932,-0.10588864781913576,-0.006613194628613463,0.026342209574983785,-0.00028119479987141446,-0.0033743375984569735,0.0012210573423113414,0.014652688107736097,-0.03209360628961973,0.025344931092705775,0.8178680186302045,0.00045087636926630494,0.00541051643119566,0.03712511567196275,monthly_segmented_wls_hac,6,0.9814416223562453,0.1580532574499027
word_additionally_per_1k_words,marker_words,2022-11-30,83,42,41,0.17529734789129517,0.2673495532312239,-0.0001421384078507009,-0.0017056608942084108,0.09522150631926704,0.09766257730253829,-0.096197145193708,0.28664015783224206,0.3295577536912586,0.00012997347364171897,0.0015596816837006276,0.003950171424547244,0.047402057094566935,-0.09134835022165055,0.09446771358905182,0.9737517419400786,-1.216493420898193e-05,-0.00014597921050778315,0.03551021758499473,monthly_segmented_wls_hac,6,1.0,0.6903967215333647
word_meticulously_per_1k_words,marker_words,2022-11-30,83,42,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
