feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
word_additionally_per_1k_words,marker_words,2021-01-01,83,19,64,0.1941825653340458,0.22866174300887038,0.006760439251434632,0.08112527101721559,-0.10596785093045033,0.05438410101920914,-0.21256068892810023,0.0006249870671995728,0.051354219463606667,-0.004311113856285025,-0.0517333662754203,0.004853364713369006,0.058240376560428075,-0.16588450433385932,0.062417771783018716,0.37439380631335484,0.002449325395149607,0.029391904741795285,0.035220145379625145,monthly_segmented_wls_hac,6,2021,0.49919174175113984
word_interplay_per_1k_words,marker_words,2021-01-01,83,19,64,0.014205554371759358,0.033361767965592426,-0.004261666311525735,-0.05113999573830882,0.10136668350607923,0.029548395520605147,0.04345182828569315,0.15928153872646533,0.0006024013863909351,0.0029122671389562402,0.03494720566747488,0.0028679099029855905,0.034414918835827084,-0.032506035250746204,0.10240044658569597,0.3098833900599183,-0.0013493991725694945,-0.016192790070833935,0.08104720429219825,monthly_segmented_wls_hac,6,2021,0.49919174175113984
word_realm_per_1k_words,marker_words,2021-01-01,83,19,64,0.0,0.01907814407814408,1.7109476143446819e-16,2.0531371372136184e-15,0.001816966102679739,0.00893618357921298,-0.015697953712577702,0.01933188591793718,0.8388795666691267,0.0005311131684756197,0.006373358021707436,0.0005942392730570165,0.0071308712766841986,-0.007603149680593593,0.020349865724008466,0.37144502353451603,0.0005311131684757908,0.006373358021709489,0.007803147056196003,monthly_segmented_wls_hac,6,2021,0.49919174175113984
word_across_per_1k_words,marker_words,2021-01-01,83,19,64,0.802086230766481,1.5011024515297169,0.01135223730630661,0.13622684767567933,-0.021790834624052235,0.2829218434533138,-0.5763176477925471,0.5327359785444428,0.938607088357767,0.007682744836172133,0.0921929380340656,0.015294494471459285,0.18353393365751142,-0.26753357193465677,0.45191944800278794,0.6154417819618861,0.019034982142478743,0.22841978570974492,0.2698479294338729,monthly_segmented_wls_hac,6,2021,0.7385301383542634
word_meticulously_per_1k_words,marker_words,2021-01-01,83,19,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,2021,1.0
word_while_per_1k_words,marker_words,2021-01-01,83,19,64,0.7308718394439754,0.9596795862741394,0.008074263478945593,0.09689116174734712,-0.11398456031352315,0.1435669232734246,-0.39537572992943537,0.16740660930238904,0.427226155590939,0.0002372422389990735,0.002846906867988882,0.012411224530073295,0.14893469436087953,-0.289065094079335,0.2947589078153128,0.9847492572285148,0.008311505717944666,0.09973806861533599,0.08338654703542481,monthly_segmented_wls_hac,6,2021,1.0
hedge_ratio,other,2021-01-01,83,19,64,0.004601158588769364,0.0038074581371714588,0.00014788063100187028,0.0017745675720224432,-0.0021498617556003916,0.0003487347790891985,-0.0028333819226152206,-0.0014663415885855626,7.059582855268516e-10,-0.00014710415023308246,-0.0017652498027969895,2.7427046424353043e-05,0.0003291245570922365,-0.0024103339346977734,-0.001120165670896206,8.163805849174403e-08,7.764807687878116e-07,9.317769225453739e-06,0.15867493172203784,monthly_segmented_wls_hac,6,2021,1.6327611698348806e-07
certainty_ratio,other,2021-01-01,83,19,64,0.0016738730294665579,0.0016431812155095057,-8.468987007044717e-07,-1.0162784408453661e-05,-0.00031112018470089446,0.00023345868174883718,-0.0007686992009286154,0.00014645883152682643,0.18264461791668885,9.709989748404536e-06,0.00011651987698085443,8.51195179653953e-06,0.00010214342155847435,-8.36812292737553e-05,0.0003167209832354642,0.2539749150518753,8.863091047700064e-06,0.00010635709257240077,0.04035583791964725,monthly_segmented_wls_hac,6,2021,0.2539749150518753
marker_phrases_total_per_1k_words,phrases,2021-01-01,83,19,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,2021,1.0
phrase_comprehensive_chapter_per_1k_words,phrases,2021-01-01,83,19,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,2021,1.0
