dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
conj->npadvmod,conj,npadvmod,7742.0,10764.0,0.0007660849388512426,0.0008792784362109798,0.0001131934973597372,0.0001131934973597372,14.775580568059826
conj->nsubj,conj,nsubj,24189.0,27922.0,0.002393545412796785,0.0022808632939319007,-0.00011268211886488431,0.00011268211886488431,-4.707749360527849
pobj->compound,pobj,compound,340643.0,413991.0,0.033707242550388,0.03381766621009102,0.00011042365970301976,0.00011042365970301976,0.3275962414841575
ROOT->amod,ROOT,amod,9195.0,12487.0,0.0009098619236291884,0.0010200250680942498,0.00011016314446506137,0.00011016314446506137,12.107677176516075
conj->advcl,conj,advcl,8525.0,11641.0,0.0008435642086937282,0.000950917900030845,0.00010735369133711681,0.00010735369133711681,12.726202727751527
relcl->dobj,relcl,dobj,31414.0,36749.0,0.0031084722641530533,0.0030019140888440446,-0.00010655817530900872,0.00010655817530900872,-3.4279918318023657
ROOT->agent,ROOT,agent,8781.0,9367.0,0.0008688958729078742,0.0007651617532504875,-0.00010373411965738672,0.00010373411965738672,-11.938613462419479
nsubj->relcl,nsubj,relcl,4868.0,4632.0,0.00048169742732211954,0.000378373998191124,-0.00010332342913099555,0.00010332342913099555,-21.44986110999122
ROOT->appos,ROOT,appos,7383.0,10182.0,0.0007305612378634364,0.0008317366255574318,0.0001011753876939954,0.0001011753876939954,13.848994779669392
conj->auxpass,conj,auxpass,15848.0,17964.0,0.0015681883377569742,0.0014674245473888926,-0.00010076379036808155,0.00010076379036808155,-6.425490353550707
ROOT->det,ROOT,det,3085.0,4969.0,0.00030526634414312627,0.0004059025036726457,0.00010063615952951945,0.00010063615952951945,32.96667368032405
xcomp->acomp,xcomp,acomp,2686.0,2024.0,0.0002657845706218597,0.00016533440680890218,-0.0001004501638129575,0.0001004501638129575,-37.793828128522634
attr->conj,attr,conj,5767.0,5762.0,0.00057065510751164,0.00047068026286210194,-9.997484464953804e-05,9.997484464953804e-05,-17.519311285144116
prep->advmod,prep,advmod,9089.0,12222.0,0.0008993730314155186,0.0009983780237245072,9.900499230898864e-05,9.900499230898864e-05,11.008223379031634
conj->attr,conj,attr,5174.0,5062.0,0.0005119766822030909,0.0004134993909420271,-9.847729126106385e-05,9.847729126106385e-05,-19.23472194813745
npadvmod->appos,npadvmod,appos,7313.0,10042.0,0.0007236346109298808,0.0008203004511734168,9.6665840243536e-05,9.6665840243536e-05,13.358377112354951
nsubjpass->appos,nsubjpass,appos,12512.0,16336.0,0.0012380850884663845,0.0013344381766947756,9.635308822839115e-05,9.635308822839115e-05,7.7824286170624735
xcomp->advmod,xcomp,advmod,4772.0,4615.0,0.0004721980532418148,0.000376985319873065,-9.52127333687498e-05,9.52127333687498e-05,-20.163728485341917
nmod->prep,nmod,prep,5863.0,8241.0,0.0005801544815919446,0.0006731822364190528,9.302775482710813e-05,9.302775482710813e-05,16.03499719106536
advcl->acomp,advcl,acomp,5110.0,5079.0,0.0005056437661495543,0.00041488806926008603,-9.075569688946831e-05,9.075569688946831e-05,-17.94854460098802
conj->acl,conj,acl,6315.0,8736.0,0.0006248807012200462,0.0007136172815625343,8.873658034248811e-05,8.873658034248811e-05,14.200563430625188
nmod->appos,nmod,appos,5540.0,7780.0,0.0005481930458842527,0.0006355245479116892,8.73315020274365e-05,8.73315020274365e-05,15.930793482899448
