family,dataset_a,dataset_b,n_features,pearson_r,pearson_p,same_direction_share,median_abs_difference
other,arxiv_qbio_abstracts,arxiv_qbio_titles,2,1.0,1.0,0.5,0.5955758645458846
other,arxiv_qbio_abstracts,arxiv_stat_abstracts,2,1.0,1.0,1.0,0.23716563414898212
other,arxiv_qbio_abstracts,medarxiv_abstracts,2,1.0,1.0,0.5,1.0546870012930216
other,arxiv_qbio_abstracts,medarxiv_titles,2,1.0,1.0,0.5,0.5559415688142689
other,arxiv_qbio_titles,arxiv_stat_abstracts,2,1.0,1.0,0.5,0.8327414986948668
other,arxiv_qbio_titles,medarxiv_abstracts,2,1.0,1.0,0.0,1.225788907589845
other,arxiv_qbio_titles,medarxiv_titles,2,1.0,1.0,0.0,0.6652795291556932
other,arxiv_stat_abstracts,medarxiv_abstracts,2,1.0,1.0,0.5,1.2371209226859028
other,arxiv_stat_abstracts,medarxiv_titles,2,1.0,1.0,0.5,0.7931072029632511
other,medarxiv_abstracts,medarxiv_titles,2,1.0,1.0,1.0,0.5605093784341517
other,arxiv_ai_abstracts,arxiv_ai_titles,2,-1.0,1.0,0.5,1.3213475762145324
other,arxiv_ai_abstracts,arxiv_stat_titles,2,-1.0,1.0,0.5,1.3101105653990137
other,arxiv_ai_titles,arxiv_qbio_abstracts,2,-1.0,1.0,0.5,0.71917280948289
other,arxiv_ai_titles,arxiv_qbio_titles,2,-1.0,1.0,1.0,0.12359694493700527
other,arxiv_ai_titles,arxiv_stat_abstracts,2,-1.0,1.0,0.5,0.956338443631872
other,arxiv_ai_titles,medarxiv_abstracts,2,-1.0,1.0,0.0,1.2412896811769514
other,arxiv_ai_titles,medarxiv_titles,2,-1.0,1.0,0.0,0.6807803027427997
other,arxiv_qbio_abstracts,arxiv_stat_titles,2,-1.0,1.0,0.5,0.7079357986673712
other,arxiv_qbio_titles,arxiv_stat_titles,2,-1.0,1.0,0.0,0.2552110294595004
other,arxiv_stat_abstracts,arxiv_stat_titles,2,-1.0,1.0,0.5,0.9451014328163533
other,arxiv_stat_titles,medarxiv_abstracts,2,-1.0,1.0,1.0,0.9705778781303445
other,arxiv_stat_titles,medarxiv_titles,2,-1.0,1.0,1.0,0.41006849969619286
phrases,arxiv_qbio_abstracts,arxiv_stat_abstracts,3,0.9993740445104127,0.02252628133230276,0.0,0.3663149192238188
phrases,arxiv_ai_abstracts,arxiv_qbio_abstracts,3,0.9103447530871628,0.2716329177389329,1.0,0.13817117425635597
phrases,arxiv_ai_abstracts,arxiv_stat_abstracts,3,0.8951341962179582,0.294159199071236,0.0,0.5073239927426153
phrases,arxiv_qbio_abstracts,medarxiv_abstracts,4,-0.007771525094982967,0.992228474905017,0.5,0.5680532817779707
phrases,arxiv_stat_abstracts,medarxiv_abstracts,3,-0.8974161316566924,0.2908835469865119,0.3333333333333333,0.964833194200719
phrases,arxiv_ai_abstracts,medarxiv_abstracts,3,-0.9999867625498915,0.00327565208469667,0.6666666666666666,0.826792131377484
phrases,arxiv_ai_abstracts,arxiv_ai_titles,2,,,1.0,0.17289879368904715
phrases,arxiv_ai_abstracts,arxiv_qbio_titles,2,,,0.0,0.401290997966547
phrases,arxiv_ai_titles,arxiv_qbio_abstracts,2,,,1.0,0.0439962063018209
phrases,arxiv_ai_titles,arxiv_qbio_titles,2,,,0.0,0.2283922042774999
phrases,arxiv_ai_titles,arxiv_stat_abstracts,2,,,0.0,0.40244053441024025
phrases,arxiv_ai_titles,medarxiv_abstracts,2,,,0.5,0.5240570754761498
phrases,arxiv_qbio_abstracts,arxiv_qbio_titles,2,,,0.0,0.18902243907036803
phrases,arxiv_qbio_titles,arxiv_stat_abstracts,2,,,1.0,0.17404833013274035
phrases,arxiv_qbio_titles,medarxiv_abstracts,2,,,0.5,0.5240570754761498
punctuation,arxiv_ai_titles,arxiv_stat_titles,3,0.999932201142995,0.007413251953816261,1.0,0.24581753365277348
punctuation,arxiv_qbio_abstracts,arxiv_stat_abstracts,3,0.9939205672817587,0.07023392130762542,1.0,0.04075833402489426
punctuation,arxiv_ai_titles,arxiv_qbio_titles,3,0.9717346813394184,0.15172263005172612,0.6666666666666666,0.11287364575467479
punctuation,arxiv_ai_abstracts,arxiv_qbio_abstracts,3,0.9705276404863683,0.15494409324443226,1.0,1.1640314969102699
punctuation,arxiv_qbio_titles,arxiv_stat_titles,3,0.9689198288191747,0.15913588200554513,0.6666666666666666,0.22871030262156644
punctuation,arxiv_ai_abstracts,arxiv_stat_abstracts,3,0.9380945164000014,0.2251780145520573,1.0,1.1676586591580589
punctuation,arxiv_qbio_titles,medarxiv_titles,3,0.9120828793087598,0.26894671273963916,1.0,0.5035340958303154
punctuation,arxiv_stat_abstracts,medarxiv_abstracts,3,0.7898699768091162,0.42029597460007395,1.0,0.9993785549622961
punctuation,arxiv_ai_titles,medarxiv_titles,3,0.7895101645477101,0.42066934279136464,0.6666666666666666,0.6685346581141646
punctuation,arxiv_stat_titles,medarxiv_titles,3,0.7823100038029144,0.4280825947451847,0.6666666666666666,0.7510072081433556
punctuation,arxiv_qbio_abstracts,medarxiv_abstracts,3,0.7175468001005958,0.49052989590769813,1.0,1.0759607671405433
punctuation,arxiv_ai_abstracts,medarxiv_titles,3,0.6742208158697232,0.5289592080327981,0.3333333333333333,2.301973445108558
punctuation,arxiv_ai_abstracts,medarxiv_abstracts,3,0.5285471042088261,0.645473989152131,1.0,1.5351286514794256
punctuation,arxiv_qbio_abstracts,medarxiv_titles,3,0.4763717610439212,0.6839033012772311,0.3333333333333333,1.0935564519256047
punctuation,arxiv_stat_abstracts,medarxiv_titles,3,0.3766713462504052,0.7541372225848553,0.3333333333333333,1.134314785950499
punctuation,arxiv_ai_abstracts,arxiv_qbio_titles,3,0.31214369559380273,0.797905920772437,0.3333333333333333,1.7984393492782424
punctuation,arxiv_ai_abstracts,arxiv_ai_titles,3,0.07904075469422016,0.9496285508241626,0.6666666666666666,1.6019471545607413
punctuation,arxiv_qbio_abstracts,arxiv_qbio_titles,3,0.07399533331668748,0.9528500140168702,0.3333333333333333,0.5900223560952893
