dataset,dependency_bigram,head_dep,child_dep,slope_change_per_year,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high
arxiv_ai_abstracts,advcl->neg,advcl,neg,-2.1148905160746247e-05,7.560859887692241e-06,-3.596819054062304e-05,-6.329619780869455e-06
arxiv_ai_abstracts,advcl->nmod,advcl,nmod,4.465370716317579e-06,1.582668105214774e-06,1.3633412300966215e-06,7.567400202538535e-06
arxiv_ai_abstracts,advcl->npadvmod,advcl,npadvmod,1.7524959724566363e-05,3.294235447555302e-06,1.106825824735797e-05,2.3981661201774755e-05
arxiv_ai_abstracts,advcl->nsubj,advcl,nsubj,0.00024474297378214823,5.549866082866767e-05,0.0001359655985579596,0.00035352034900633687
arxiv_ai_abstracts,advcl->nsubjpass,advcl,nsubjpass,-2.7473271116214466e-05,1.5881760255662043e-05,-5.860152121731207e-05,3.654978984883139e-06
arxiv_ai_abstracts,advcl->nummod,advcl,nummod,1.4726032776898893e-06,1.0198775130283064e-06,-5.26356647845591e-07,3.4715632032253696e-06
arxiv_ai_abstracts,advcl->oprd,advcl,oprd,7.46490272440408e-06,2.1114987108996614e-06,3.3263652510407434e-06,1.1603440197767417e-05
arxiv_ai_abstracts,advcl->parataxis,advcl,parataxis,2.209157370747289e-06,8.660471221790654e-07,5.117050112763208e-07,3.906609730218257e-06
arxiv_ai_abstracts,advcl->pcomp,advcl,pcomp,-9.743737073958485e-08,3.9477830861101875e-07,-8.712028556171816e-07,6.763281141380119e-07
arxiv_ai_abstracts,advcl->pobj,advcl,pobj,-6.410484839633603e-07,1.9313751749358966e-06,-4.4265438268377175e-06,3.144446858910997e-06
arxiv_ai_abstracts,advcl->poss,advcl,poss,6.749031648271236e-07,4.73755413973147e-07,-2.5365744656024454e-07,1.6034637762144917e-06
arxiv_ai_abstracts,advcl->preconj,advcl,preconj,3.440743476955623e-08,6.811920130810521e-07,-1.3007289108693058e-06,1.3695437804084183e-06
arxiv_ai_abstracts,advcl->prep,advcl,prep,0.0002950460319285364,4.9779388271824996e-05,0.0001974784309157594,0.0003926136329413134
arxiv_ai_abstracts,advcl->prt,advcl,prt,2.4230509861319207e-06,3.345941627706727e-06,-4.134994604173264e-06,8.981096576437105e-06
arxiv_ai_abstracts,advcl->quantmod,advcl,quantmod,2.889582675919391e-08,2.9074723468205253e-07,-5.409687532176291e-07,5.987604067360168e-07
arxiv_ai_abstracts,advcl->relcl,advcl,relcl,6.209525319327327e-07,1.198054142434162e-06,-1.7272335872382248e-06,2.96913865110369e-06
arxiv_ai_abstracts,advcl->xcomp,advcl,xcomp,-1.0672678775374553e-05,1.622314422997187e-05,-4.2470041466119416e-05,2.112468391537031e-05
arxiv_ai_abstracts,advmod->acl,advmod,acl,3.423534651395751e-07,2.946784007790804e-07,-2.3521620038742248e-07,9.199231306665727e-07
arxiv_ai_abstracts,advmod->acomp,advmod,acomp,1.6500105570843477e-07,8.971305079427978e-08,-1.0836523848353574e-08,3.408386352652231e-07
arxiv_ai_abstracts,advmod->advcl,advmod,advcl,-1.5316880945054634e-06,1.8188187158011454e-06,-5.096572777475708e-06,2.0331965884647816e-06
arxiv_ai_abstracts,advmod->advmod,advmod,advmod,1.6903073459564573e-06,2.0087048912421757e-05,-3.768030852239018e-05,4.10609232143031e-05
arxiv_ai_abstracts,advmod->amod,advmod,amod,6.412010614228145e-06,1.202635523210992e-06,4.054844988734601e-06,8.76917623972169e-06
arxiv_ai_abstracts,advmod->appos,advmod,appos,3.6181306038367553e-06,5.68935352349057e-07,2.5030173132326037e-06,4.733243894440907e-06
arxiv_ai_abstracts,advmod->attr,advmod,attr,2.261401945324621e-07,3.5718987787785056e-07,-4.73951966108125e-07,9.262323551730492e-07
arxiv_ai_abstracts,advmod->aux,advmod,aux,-5.0907907034234744e-08,6.870759355831777e-07,-1.3975767407772631e-06,1.2957609267087937e-06
arxiv_ai_abstracts,advmod->case,advmod,case,3.1898053404073894e-07,7.083297175815891e-08,1.8014790939474747e-07,4.5781315868673044e-07
arxiv_ai_abstracts,advmod->cc,advmod,cc,-2.1207713658838655e-05,3.6353794015107394e-06,-2.8333057285799705e-05,-1.4082370031877604e-05
arxiv_ai_abstracts,advmod->ccomp,advmod,ccomp,1.0892229749077475e-07,8.696294942662041e-07,-1.5955515112709853e-06,1.8133961062525348e-06
arxiv_ai_abstracts,advmod->compound,advmod,compound,4.612548318140838e-06,9.949943299894663e-07,2.6623594313614845e-06,6.562737204920193e-06
arxiv_ai_abstracts,advmod->conj,advmod,conj,-2.0494786928069803e-05,4.285495551400488e-06,-2.889435820881476e-05,-1.2095215647324847e-05
arxiv_ai_abstracts,advmod->dep,advmod,dep,2.4652782578937673e-06,8.108943495247062e-07,8.759253328253431e-07,4.054631182962191e-06
arxiv_ai_abstracts,advmod->det,advmod,det,9.713385641230388e-07,1.7860507841505405e-06,-2.5293209728120208e-06,4.471998101058098e-06
arxiv_ai_abstracts,advmod->dobj,advmod,dobj,1.1113167266425996e-07,2.2115506701037258e-07,-3.223322586760703e-07,5.445956040045903e-07
arxiv_ai_abstracts,advmod->intj,advmod,intj,4.092699461379744e-08,2.0541429763764093e-07,-3.616850287559788e-07,4.4353901798357365e-07
arxiv_ai_abstracts,advmod->mark,advmod,mark,-2.1491863195356002e-07,3.244056704544123e-07,-8.507537460442081e-07,4.209164821370881e-07
arxiv_ai_abstracts,advmod->meta,advmod,meta,-1.2340239162512842e-07,1.662385787426663e-07,-4.4923000596075434e-07,2.024252227104975e-07
arxiv_ai_abstracts,advmod->neg,advmod,neg,1.2374170349420598e-07,1.7188603576869296e-06,-3.245224597572176e-06,3.492708004560588e-06
arxiv_ai_abstracts,advmod->nmod,advmod,nmod,7.599293322658085e-07,5.888593072438978e-07,-3.942349099322312e-07,1.914093574463848e-06
