dataset,dependency_role,slope_change_per_year,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high
arxiv_stat_abstracts,attr,-0.00037900849517765573,5.5362051359027575e-05,-0.0004875181158413498,-0.00027049887451396166
arxiv_stat_abstracts,aux,-0.0024782109879273556,0.0004873773711777338,-0.0034334706354357137,-0.0015229513404189975
arxiv_stat_abstracts,auxpass,-0.00047467583153228,0.00024317722420571353,-0.0009513031909754785,1.9515279109184663e-06
arxiv_stat_abstracts,case,-7.763768163355578e-05,3.4889153462888804e-05,-0.00014602042242081785,-9.254940846293726e-06
arxiv_stat_abstracts,cc,0.0012247919418135978,0.00016476800129878023,0.0009018466592679886,0.001547737224359207
arxiv_stat_abstracts,ccomp,5.7951275207959166e-05,0.0001081637277747209,-0.0001540496312304938,0.00026995218164641217
arxiv_stat_abstracts,compound,0.0030821393200285794,0.00029808477659362133,0.0024978931579050815,0.0036663854821520772
arxiv_stat_abstracts,conj,0.001716918166566459,0.00019837915561521876,0.0013280950215606303,0.002105741311572288
arxiv_stat_abstracts,csubj,-6.905420138147772e-06,2.6909701915472376e-05,-5.964843589247363e-05,4.5837595616178084e-05
arxiv_stat_abstracts,csubjpass,-2.523034423973193e-06,3.2408494208556406e-06,-8.875099288850249e-06,3.8290304409038625e-06
arxiv_stat_abstracts,dative,-1.5320165742708965e-05,3.914317382910372e-06,-2.2992227813213294e-05,-7.648103672204636e-06
arxiv_stat_abstracts,dep,4.160837375836573e-05,1.5376983559535486e-05,1.1469485981676174e-05,7.174726153505528e-05
arxiv_stat_abstracts,det,-0.0036476410530904887,0.0007762548610330467,-0.00516910058071526,-0.0021261815254657174
arxiv_stat_abstracts,dobj,0.0010642086346874247,0.0008445530343637159,-0.0005911153126654585,0.0027195325820403076
arxiv_stat_abstracts,expl,-0.00011736576262143101,1.1056988882296504e-05,-0.00013903746083073217,-9.569406441212985e-05
arxiv_stat_abstracts,intj,4.954753421645144e-07,7.596944265788185e-06,-1.4394535418780328e-05,1.5385486103109357e-05
arxiv_stat_abstracts,mark,0.0001814711792384521,8.96451496421415e-05,5.7666859398547334e-06,0.00035717567253704943
arxiv_stat_abstracts,meta,-3.3939839986760115e-05,1.6198118323369955e-05,-6.568815190056523e-05,-2.1915280729550062e-06
arxiv_stat_abstracts,neg,-0.00011618902218196389,3.6933524228318416e-05,-0.00018857872966946798,-4.37993146944598e-05
arxiv_stat_abstracts,nmod,0.0005246482659211735,0.000201940636065734,0.00012884461923233487,0.0009204519126100122
arxiv_stat_abstracts,npadvmod,0.0010341085851783326,0.00015225258125754995,0.0007356935259135347,0.0013325236444431305
arxiv_stat_abstracts,nsubj,0.0006831215176395285,0.0002493415336617255,0.00019441211166254654,0.0011718309236165105
arxiv_stat_abstracts,nsubjpass,-0.00043714291229999223,0.0002371564844726154,-0.0009019696218663184,2.7683797266333924e-05
arxiv_stat_abstracts,nummod,0.0004250319881929655,0.00016443788829427833,0.00010273372713617997,0.000747330249249751
arxiv_stat_abstracts,oprd,-9.699469348155822e-05,1.7891071984409436e-05,-0.00013206119457100072,-6.192819239211571e-05
arxiv_stat_abstracts,parataxis,-4.755583433435517e-06,5.5916682041851085e-06,-1.571525311363833e-05,6.2040862467672966e-06
arxiv_stat_abstracts,pcomp,-0.0004664523163502678,0.0002017996672049657,-0.0008619796640720006,-7.092496862853506e-05
arxiv_stat_abstracts,pobj,-0.0026179507091608593,0.0005682296675978134,-0.0037316808576525733,-0.0015042205606691451
arxiv_stat_abstracts,poss,-0.0008041473166317277,0.00021741478846361441,-0.001230280302020412,-0.0003780143312430435
arxiv_stat_abstracts,preconj,1.8831091021440463e-05,1.9944715711241274e-05,-2.0260551772592432e-05,5.792273381547336e-05
arxiv_stat_abstracts,predet,-5.656229967107017e-05,1.3644199638639706e-05,-8.3304930962804e-05,-2.9819668379336347e-05
arxiv_stat_abstracts,prep,-0.003272336398880733,0.000506152199296569,-0.004264394709502009,-0.0022802780882594576
arxiv_stat_abstracts,prt,4.240137144876781e-06,1.2010636614453902e-05,-1.9300710619452867e-05,2.778098490920643e-05
arxiv_stat_abstracts,quantmod,4.4739494353590934e-05,3.837664580837736e-05,-3.0478731430828694e-05,0.00011995772013801056
arxiv_stat_abstracts,relcl,-0.00016438224141222964,6.598832498683291e-05,-0.00029371935838642217,-3.504512443803712e-05
arxiv_stat_abstracts,xcomp,-0.0008049914720917687,0.0001555319222858597,-0.0011098340397720538,-0.0005001489044114837
arxiv_stat_titles,ROOT,-0.00030649222621986945,0.0005635180985518514,-0.0014109876993814983,0.0007980032469417594
arxiv_stat_titles,acl,-0.0008150130109720879,0.0005177857712251579,-0.0018298731225733975,0.0001998471006292217
arxiv_stat_titles,acomp,-7.192801053151696e-05,7.73800889349082e-05,-0.00022359298484393703,7.973696378090312e-05
arxiv_stat_titles,advcl,-0.00017269959751403473,9.194867500312335e-05,-0.0003529190005201565,7.519805492087032e-06
arxiv_stat_titles,advmod,-0.00023958167322994184,0.00019296943563063443,-0.0006178017670659853,0.00013863842060610166
arxiv_stat_titles,agent,7.8566844569046e-06,2.6610910707652287e-05,-4.430070053009388e-05,6.001406944390308e-05
arxiv_stat_titles,amod,0.0023979949682061547,0.0014867180452182486,-0.0005159724004216125,0.005311962336833922
