model_spec,outcome,feature,family,standardized_coefficient,bootstrap_ci_low,bootstrap_ci_high,bootstrap_selection_frequency,grouped_permutation_mse_increase,alpha,l1_ratio,grouped_cv_r2,n_documents
total_association,fkgl_complexity,dep_bigram__pcomp->dobj,dependency bigram,0.055007740369797144,0.0508417568868946,0.05828755857740416,1.0,0.006019940480879083,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__conj->dobj,dependency bigram,0.08256476899349123,0.08052814025311643,0.08498242574450073,1.0,0.014140990635166398,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__nsubj->compound,dependency bigram,0.02181999638853394,0.01889227736280917,0.02415103182395463,1.0,0.0012055327565775498,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ccomp->nsubj,dependency bigram,0.04061025272945432,0.037808901482885245,0.04337146849152068,1.0,0.0033354084765185106,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->conj,dependency bigram,-0.018461972267137205,-0.022546075666560573,-0.011833428483243955,1.0,0.0007343619020954862,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__conj->compound,dependency bigram,0.06153001817293317,0.058790526202731584,0.06390853077334305,1.0,0.008232199107996939,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__amod->npadvmod,dependency bigram,0.05038149946289383,0.04901497680389494,0.05300869971435672,1.0,0.005780755471792616,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__xcomp->aux,dependency bigram,-0.0,-0.0003790235832505805,-0.0,0.12,-2.0494048255104147e-06,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->ccomp,dependency bigram,-0.03526111185489797,-0.038987817634452096,-0.031485192030804104,1.0,0.0027367524940346355,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__nsubj->prep,dependency bigram,0.021154303845961255,0.019986165238248012,0.023001420446139748,1.0,0.000888637018894225,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__xcomp->dobj,dependency bigram,0.00219837951691186,0.0002921812136173724,0.0035483047798667345,0.98,-7.795451884917705e-06,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->auxpass,dependency bigram,-0.23503679035376496,-0.2462417847037404,-0.22970869708349137,1.0,0.11219604874856967,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->nsubjpass,dependency bigram,-0.05265715227487423,-0.05737327768679529,-0.041981000893386855,1.0,0.0061636553107119905,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__amod->advmod,dependency bigram,0.03288824802019693,0.030939940802187923,0.034363624001235514,1.0,0.002315627563829161,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->cc,dependency bigram,-0.004477015520239817,-0.010532678759253648,-0.0001784396938528259,0.96,-1.700838985558395e-05,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,readability_composite,dep_bigram__prep->pobj,dependency bigram,-0.022750900423695358,-0.02553692499243472,-0.019485784342732935,1.0,0.0012606016854622062,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__pobj->amod,dependency bigram,0.22978239266026684,0.22767473376072717,0.2321814187602199,1.0,0.10827563594466613,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__dobj->amod,dependency bigram,0.1914782772288793,0.18943015032344268,0.19322387296858776,1.0,0.07499421956898229,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__pobj->det,dependency bigram,-0.08424783088158717,-0.08678322392823755,-0.08171821873109353,1.0,0.01504752872525463,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->nsubj,dependency bigram,-0.34956688120744045,-0.3522245670812666,-0.3469159853890379,1.0,0.24863679098371516,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__pobj->compound,dependency bigram,0.08733676505647013,0.085140305805652,0.08939015648288186,1.0,0.01595322652928574,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__dobj->det,dependency bigram,-0.053400037209640414,-0.0554175472994268,-0.051430193153738285,1.0,0.006306672652949262,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__dobj->prep,dependency bigram,0.044150299274431384,0.04191159928496151,0.04626923231419212,1.0,0.004109585294060119,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__pobj->prep,dependency bigram,0.04644329875069782,0.043690057470764244,0.04897578225847019,1.0,0.0036452936639277357,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->dobj,dependency bigram,-0.014085309855565487,-0.016614825464978836,-0.011194544419421939,1.0,0.00034918404024570694,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->prep,dependency bigram,-0.08090866221464985,-0.08290173496583227,-0.079446465914346,1.0,0.013994378280046096,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__dobj->compound,dependency bigram,0.06503923275078023,0.06305525285664094,0.06750323600959161,1.0,0.009499401505058281,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__nsubj->amod,dependency bigram,0.09527008765308273,0.09407327773222388,0.09722049903897424,1.0,0.01941412712262127,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__nsubj->det,dependency bigram,-0.011219243728567455,-0.01283728844182212,-0.009847947544806553,1.0,0.0003620376161764671,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->advmod,dependency bigram,0.0,0.0,0.001585032899429814,0.54,-1.743388539621196e-07,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__advcl->dobj,dependency bigram,0.09664902729152107,0.0943577808871777,0.0988617997049405,1.0,0.018885001445396215,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->advcl,dependency bigram,0.02163442426373735,0.01947270644560997,0.023765553113131128,1.0,0.0011660596323072236,0.02438432060696904,0.1,0.44554596092597354,638937
