model_spec,outcome,feature,family,standardized_coefficient,bootstrap_ci_low,bootstrap_ci_high,bootstrap_selection_frequency,grouped_permutation_mse_increase,alpha,l1_ratio,grouped_cv_r2,n_documents,mean_standardized_its_change,mean_abs_standardized_its_change,its_valid_corpora,its_positive_share,alignment_score,abs_alignment_score,complexity_aligned
total_association,ari_complexity,dep_role__compound,dependency role,0.05471235238790851,0.04843819475717306,0.06446477555398519,1.0,0.00684909920494144,0.011993918904249846,0.1,0.5601689097439704,638937,1.0501019549341326,1.0501019549341326,4,1.0,0.057453548201587885,0.057453548201587885,True
total_association,readability_composite,dep_role__cc,dependency role,0.055156531080632856,0.050965608539216896,0.060323300097750006,1.0,0.0069691907378418416,0.010910352217419357,0.1,0.5454019506465443,638937,1.0306172878238777,1.1360338394044527,4,0.75,0.05684527446809525,0.05684527446809525,True
beyond_formula,readability_composite,dep_role__advcl,dependency role,0.030633241586150353,0.027540426506781387,0.03396948879219661,1.0,0.0021081269050641505,0.0012705933309520442,0.5,0.801219416701403,638937,1.8447681700096348,1.8447681700096348,4,1.0,0.05651122902234563,0.05651122902234563,True
total_association,ari_complexity,dep_bigram__ROOT->auxpass,dependency bigram,-0.08779713858188715,-0.10544220372098367,-0.05021935672194698,1.0,0.016069909591675827,0.011993918904249846,0.1,0.5601689097439704,638937,-0.6124983284211682,0.6124983284211682,4,0.0,0.05377560062156753,0.05377560062156753,True
total_association,readability_composite,dep_role__appos,dependency role,-0.03916258561794826,-0.04077256396691669,-0.03591828599323492,1.0,0.0027050807065321946,0.010910352217419357,0.1,0.5454019506465443,638937,1.3311762556552416,1.3311762556552416,4,1.0,-0.05213230408467818,0.05213230408467818,False
total_association,readability_composite,dep_role__prep,dependency role,-0.022803059304577,-0.026590513774454805,-0.016961458375210882,1.0,0.0012701012945574885,0.010910352217419357,0.1,0.5454019506465443,638937,-2.2124281890045525,2.2124281890045525,4,0.0,0.0504501312009887,0.0504501312009887,True
total_association,fkgl_complexity,dep_bigram__ROOT->auxpass,dependency bigram,-0.08072686452911387,-0.09945820648556541,-0.03932827327747635,1.0,0.013563875425625623,0.007283626068607816,0.1,0.5091369311810263,638937,-0.6124983284211682,0.6124983284211682,4,0.0,0.049445069582764345,0.049445069582764345,True
total_association,readability_composite,dep_bigram__dobj->amod,dependency bigram,0.021175100061217984,0.018539140446895908,0.024938877790589314,1.0,0.0010985693565661258,0.010910352217419357,0.1,0.5454019506465443,638937,2.3258964990016295,2.3258964990016295,4,1.0,0.0492510910983961,0.0492510910983961,True
beyond_formula,readability_composite,dep_role__nsubj,dependency role,-0.04343152710349465,-0.04671682652536577,-0.039720516611298495,1.0,0.003758556326659138,0.0012705933309520442,0.5,0.801219416701403,638937,1.121973872258537,1.121973872258537,4,1.0,-0.048729038642409496,0.048729038642409496,False
total_association,fkgl_complexity,dep_role__pobj,dependency role,-0.02467143769137111,-0.03468309115855003,-0.016905532753588852,1.0,0.0016925799091392069,0.007283626068607816,0.1,0.5091369311810263,638937,-1.914696148546553,1.914696148546553,4,0.0,0.04723830672677453,0.04723830672677453,True
total_association,fkgl_complexity,dependency_entropy,syntax,-0.09062575479063435,-0.09910628811153695,-0.0797176822694477,1.0,0.016297792315460587,0.007283626068607816,0.1,0.5091369311810263,638937,-0.5193299158411733,0.5193299158411733,4,0.0,0.047064665608462945,0.047064665608462945,True
total_association,ari_complexity,dep_role__cc,dependency role,0.04513489941919265,0.039393350579641974,0.05143910433027088,1.0,0.004598999797092604,0.011993918904249846,0.1,0.5601689097439704,638937,1.0306172878238777,1.1360338394044527,4,0.75,0.04651680762561185,0.04651680762561185,True
total_association,fkgl_complexity,dep_bigram__nsubj->amod,dependency bigram,0.028403807379922506,0.0255905586972655,0.030347837798960803,1.0,0.0018494551022477368,0.007283626068607816,0.1,0.5091369311810263,638937,1.6262723183474912,1.6262723183474912,4,1.0,0.04619232567764216,0.04619232567764216,True
total_association,fkgl_complexity,clause_depth_std,syntax,-0.028292443507596673,-0.03202660623245594,-0.02135877698469392,1.0,0.0018158270123566124,0.007283626068607816,0.1,0.5091369311810263,638937,-1.594829503027183,1.594829503027183,4,0.0,0.04512162361864506,0.04512162361864506,True
total_association,ari_complexity,dep_bigram__nsubj->amod,dependency bigram,0.027544215739459643,0.025219088379673342,0.029651270684814456,1.0,0.0018107839090838354,0.011993918904249846,0.1,0.5601689097439704,638937,1.6262723183474912,1.6262723183474912,4,1.0,0.04479439558767449,0.04479439558767449,True
total_association,fkgl_complexity,dep_role__prep,dependency role,-0.01964544438160573,-0.024374578214928267,-0.014027669936526163,1.0,0.000992166237301191,0.007283626068607816,0.1,0.5091369311810263,638937,-2.2124281890045525,2.2124281890045525,4,0.0,0.04346413493538563,0.04346413493538563,True
total_association,readability_composite,dep_bigram__prep->pobj,dependency bigram,-0.021753626773189486,-0.02966776382279078,-0.011706142222183575,1.0,0.0016089793454336565,0.010910352217419357,0.1,0.5454019506465443,638937,-1.992071564490838,1.9920715644908378,4,0.0,0.043334781319417356,0.043334781319417356,True
beyond_formula,readability_composite,dep_bigram__dobj->det,dependency bigram,-0.02716399051041389,-0.02836678699857684,-0.02580763649962423,1.0,0.001608140251157202,0.0012705933309520442,0.5,0.801219416701403,638937,-1.5598562704170649,1.7259458649329262,4,0.25,0.042371920927218754,0.042371920927218754,True
total_association,ari_complexity,dependency_entropy,syntax,-0.08003117911084437,-0.08892913381193392,-0.0661572206337445,1.0,0.012355039325244148,0.011993918904249846,0.1,0.5601689097439704,638937,-0.5193299158411733,0.5193299158411733,4,0.0,0.04156258551230467,0.04156258551230467,True
total_association,readability_composite,dep_bigram__advcl->dobj,dependency bigram,0.019513347747080082,0.017438536985879525,0.022179024913693023,1.0,0.0011171085249934661,0.010910352217419357,0.1,0.5454019506465443,638937,2.0767992448877823,2.0767992448877823,4,1.0,0.04052530586636862,0.04052530586636862,True
total_association,fkgl_complexity,dep_bigram__conj->amod,dependency bigram,0.018552017013771578,0.015716391299082744,0.021346499219715077,1.0,0.0008961553348662266,0.007283626068607816,0.1,0.5091369311810263,638937,2.1809627427957503,2.1809627427957503,4,1.0,0.040461257910748685,0.040461257910748685,True
total_association,readability_composite,dep_bigram__conj->amod,dependency bigram,0.018401255334374155,0.01606991574668759,0.020955379523805048,1.0,0.0009170387876118923,0.010910352217419357,0.1,0.5454019506465443,638937,2.1809627427957503,2.1809627427957503,4,1.0,0.04013245230494159,0.04013245230494159,True
beyond_formula,readability_composite,dep_bigram__ROOT->dobj,dependency bigram,-0.019471777937932384,-0.02184493410625714,-0.01551174092190563,1.0,0.0006537687820021054,0.0012705933309520442,0.5,0.801219416701403,638937,1.9848212036311053,1.984821203631105,4,1.0,-0.038647997723604555,0.038647997723604555,False
total_association,fkgl_complexity,sentence_depth_std,syntax,-0.024028823766556472,-0.027783750347886244,-0.018584002270352635,1.0,0.0013275790832133593,0.007283626068607816,0.1,0.5091369311810263,638937,-1.594829503027183,1.594829503027183,4,0.0,0.038321877065945024,0.038321877065945024,True
total_association,ari_complexity,dep_bigram__ROOT->prep,dependency bigram,-0.04100694065190947,-0.04397107459793085,-0.03430080296874483,1.0,0.0036435790886282502,0.011993918904249846,0.1,0.5601689097439704,638937,-0.9209995528391246,1.0090162357001597,4,0.25,0.037767374003709143,0.037767374003709143,True
total_association,fkgl_complexity,dep_role__compound,dependency role,0.03547502530595778,0.02596845980108225,0.04924780786735429,1.0,0.003109266732651539,0.007283626068607816,0.1,0.5091369311810263,638937,1.0501019549341326,1.0501019549341326,4,1.0,0.03725239342512409,0.03725239342512409,True
total_association,readability_composite,dep_role__pobj,dependency role,-0.01937187789207424,-0.025900214479033887,-0.014006036305162567,1.0,0.0012067334732974078,0.010910352217419357,0.1,0.5454019506465443,638937,-1.914696148546553,1.914696148546553,4,0.0,0.03709125999006867,0.03709125999006867,True
